Date,Adj Close
2018-05-17,114.5999984741211
2018-05-18,111.5999984741211
2018-05-21,112.80000305175781
2018-05-22,112.80000305175781
2018-05-23,111.0
2018-05-24,112.4000015258789
2018-05-25,111.0
2018-05-28,111.80000305175781
2018-05-29,110.0
2018-05-30,112.19999694824219
2018-05-31,116.80000305175781
2018-06-01,120.5999984741211
2018-06-04,132.0
2018-06-05,144.8000030517578
2018-06-06,144.8000030517578
2018-06-07,144.8000030517578
2018-06-08,145.39999389648438
2018-06-11,145.1999969482422
2018-06-12,146.1999969482422
2018-06-13,161.0
2018-06-14,157.0
2018-06-15,157.0
2018-06-18,152.0
2018-06-19,149.1999969482422
2018-06-20,172.0
2018-06-21,181.1999969482422
2018-06-22,181.1999969482422
2018-06-25,185.60000610351562
2018-06-26,183.8000030517578
2018-06-27,187.0
2018-06-28,184.39999389648438
2018-06-29,179.8000030517578
2018-07-02,180.0
2018-07-03,183.0
2018-07-04,181.60000610351562
2018-07-05,181.0
2018-07-06,181.1999969482422
2018-07-09,182.0
2018-07-10,182.0
2018-07-11,185.0
2018-07-12,186.8000030517578
2018-07-13,186.0
2018-07-16,193.8000030517578
2018-07-17,198.0
2018-07-18,209.0
2018-07-19,209.0
2018-07-20,213.0
2018-07-23,209.0
2018-07-24,218.0
2018-07-25,195.39999389648438
2018-07-26,196.8000030517578
2018-07-27,197.0
2018-07-30,198.8000030517578
2018-07-31,202.0
2018-08-01,187.60000610351562
2018-08-02,180.39999389648438
2018-08-03,177.1999969482422
2018-08-06,185.0
2018-08-07,177.0
2018-08-08,180.39999389648438
2018-08-09,179.0
2018-08-10,178.60000610351562
2018-08-13,173.39999389648438
2018-08-14,165.8000030517578
2018-08-15,165.60000610351562
2018-08-16,168.0
2018-08-17,169.0
2018-08-20,167.1999969482422
2018-08-21,162.0
2018-08-22,163.0
2018-08-23,164.8000030517578
2018-08-24,165.60000610351562
2018-08-27,169.0
2018-08-28,173.1999969482422
2018-08-29,176.8000030517578
2018-08-30,174.39999389648438
2018-08-31,173.8000030517578
2018-09-03,173.39999389648438
2018-09-04,171.39999389648438
2018-09-05,171.1999969482422
2018-09-06,171.8000030517578
2018-09-07,171.8000030517578
2018-09-10,175.0
2018-09-11,173.0
2018-09-12,174.60000610351562
2018-09-13,186.0
2018-09-14,185.0
2018-09-17,189.60000610351562
2018-09-18,188.0
2018-09-19,190.0
2018-09-20,201.0
2018-09-21,197.60000610351562
2018-09-24,195.0
2018-09-25,191.1999969482422
2018-09-26,195.0
2018-09-27,192.60000610351562
2018-09-28,197.0
2018-10-01,193.8000030517578
2018-10-02,193.0
2018-10-03,206.0
2018-10-04,204.5
2018-10-05,203.0
2018-10-08,198.8000030517578
2018-10-09,197.0
2018-10-10,196.0
2018-10-11,190.0
2018-10-12,196.8000030517578
2018-10-15,203.5
2018-10-16,202.0
2018-10-17,200.0
2018-10-18,200.0
2018-10-19,194.1999969482422
2018-10-22,192.39999389648438
2018-10-23,187.60000610351562
2018-10-24,186.0
2018-10-25,196.0
2018-10-26,216.0
2018-10-29,225.0
2018-10-30,236.5
2018-10-31,253.5
2018-11-01,248.5
2018-11-02,250.0
2018-11-05,247.5
2018-11-06,245.0
2018-11-07,249.0
2018-11-08,243.5
2018-11-09,248.5
2018-11-12,245.0
2018-11-13,248.5
2018-11-14,240.0
2018-11-15,237.0
2018-11-16,239.0
2018-11-19,240.0
2018-11-20,222.0
2018-11-21,222.5
2018-11-22,220.0
2018-11-23,224.0
2018-11-26,229.0
2018-11-27,225.0
2018-11-28,220.0
2018-11-29,226.5
2018-11-30,218.0
2018-12-03,213.0
2018-12-04,201.5
2018-12-05,204.5
2018-12-06,192.8000030517578
2018-12-07,193.0
2018-12-10,189.60000610351562
2018-12-11,193.0
2018-12-12,205.5
2018-12-13,200.0
2018-12-14,201.5
2018-12-17,194.0
2018-12-18,194.60000610351562
2018-12-19,201.0
2018-12-20,196.39999389648438
2018-12-21,194.60000610351562
2018-12-27,188.60000610351562
2018-12-28,190.0
2019-01-02,200.0
2019-01-03,198.1999969482422
2019-01-04,208.5
2019-01-07,201.5
2019-01-08,196.8000030517578
2019-01-09,198.0
2019-01-10,194.1999969482422
2019-01-11,197.8000030517578
2019-01-14,197.0
2019-01-15,191.0
2019-01-16,190.0
2019-01-17,193.39999389648438
2019-01-18,194.0
2019-01-21,193.60000610351562
2019-01-22,192.0
2019-01-23,193.60000610351562
2019-01-24,195.39999389648438
2019-01-25,195.0
2019-01-28,196.0
2019-01-29,202.0
2019-01-30,204.0
2019-01-31,205.0
2019-02-01,210.0
2019-02-04,210.5
2019-02-05,209.0
2019-02-06,205.0
2019-02-07,209.5
2019-02-08,209.0
2019-02-11,205.0
2019-02-12,201.5
2019-02-13,205.0
2019-02-14,200.0
2019-02-15,193.0
2019-02-18,186.8000030517578
2019-02-19,175.0
2019-02-20,171.0
2019-02-21,168.8000030517578
2019-02-22,171.8000030517578
2019-02-25,168.8000030517578
2019-02-26,175.8000030517578
2019-02-27,169.39999389648438
2019-02-28,168.1999969482422
2019-03-01,172.60000610351562
2019-03-04,138.0
2019-03-05,145.8000030517578
2019-03-06,153.1999969482422
2019-03-07,150.0
2019-03-08,150.1999969482422
2019-03-11,152.1999969482422
2019-03-12,147.60000610351562
2019-03-13,147.0
2019-03-14,146.60000610351562
2019-03-15,150.0
2019-03-18,149.0
